Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
SP1,12-11-2006,Gimnastic,La Coruna,0,0,D,0,0,D,2006
SP1,12-11-2006,Osasuna,Real Madrid,1,4,A,0,3,A,2006
SP1,12-11-2006,Santander,Sevilla,0,0,D,0,0,D,2006
SP1,12-11-2006,Sociedad,Espanol,1,1,D,1,0,H,2006
SP1,18-11-2006,Real Madrid,Santander,3,1,H,1,0,H,2006
SP1,18-11-2006,Sevilla,Valencia,3,0,H,1,0,H,2006
SP1,19-11-2006,Espanol,Ath Bilbao,3,2,H,0,0,D,2006
SP1,19-11-2006,La Coruna,Celta,0,1,A,0,0,D,2006
SP1,19-11-2006,Levante,Ath Madrid,0,3,A,0,1,A,2006
SP1,19-11-2006,Mallorca,Barcelona,1,4,A,0,1,A,2006
SP1,19-11-2006,Recreativo,Osasuna,2,0,H,1,0,H,2006
SP1,19-11-2006,Sociedad,Betis,0,0,D,0,0,D,2006
SP1,19-11-2006,Villarreal,Getafe,1,0,H,0,0,D,2006
SP1,19-11-2006,Zaragoza,Gimnastic,3,0,H,0,0,D,2006
SP1,25-11-2006,Ath Madrid,Sociedad,1,1,D,0,1,A,2006
SP1,25-11-2006,Barcelona,Villarreal,4,0,H,1,0,H,2006
SP1,26-11-2006,Ath Bilbao,Sevilla,1,3,A,0,2,A,2006
SP1,26-11-2006,Betis,Espanol,1,1,D,1,0,H,2006
SP1,26-11-2006,Celta,Zaragoza,1,1,D,0,1,A,2006
SP1,26-11-2006,Getafe,Levante,0,0,D,0,0,D,2006
SP1,26-11-2006,Gimnastic,Mallorca,2,3,A,1,0,H,2006
SP1,26-11-2006,Osasuna,La Coruna,4,1,H,2,1,H,2006
SP1,26-11-2006,Santander,Recreativo,4,3,H,3,1,H,2006
SP1,26-11-2006,Valencia,Real Madrid,0,1,A,0,0,D,2006
SP1,02-12-2006,Betis,Ath Madrid,0,1,A,0,1,A,2006
SP1,02-12-2006,Levante,Barcelona,1,1,D,0,1,A,2006
SP1,02-12-2006,Recreativo,Valencia,2,0,H,1,0,H,2006
SP1,03-12-2006,Espanol,Sevilla,2,1,H,0,1,A,2006
SP1,03-12-2006,La Coruna,Santander,0,0,D,0,0,D,2006
SP1,03-12-2006,Mallorca,Celta,2,2,D,1,0,H,2006
SP1,03-12-2006,Real Madrid,Ath Bilbao,2,1,H,0,1,A,2006
SP1,03-12-2006,Sociedad,Getafe,0,0,D,0,0,D,2006
SP1,03-12-2006,Villarreal,Gimnastic,2,0,H,2,0,H,2006
SP1,03-12-2006,Zaragoza,Osasuna,1,2,A,1,0,H,2006
SP1,09-12-2006,Barcelona,Sociedad,1,0,H,0,0,D,2006
SP1,09-12-2006,Sevilla,Real Madrid,2,1,H,1,1,D,2006
SP1,10-12-2006,Ath Bilbao,Recreativo,4,2,H,3,0,H,2006
SP1,10-12-2006,Ath Madrid,Espanol,1,2,A,0,1,A,2006
SP1,10-12-2006,Celta,Villarreal,1,1,D,1,0,H,2006
SP1,10-12-2006,Getafe,Betis,1,1,D,0,0,D,2006
SP1,10-12-2006,Gimnastic,Levante,2,1,H,1,1,D,2006
SP1,10-12-2006,Osasuna,Mallorca,3,0,H,0,0,D,2006
